Time:      10773  NODE1: [ 99, -57, -51, -53, -56, -55, -58,  99; -58,  99, -78, -61, -66, -64, -59,  99; -51, -78,  99, -55, -55, -57, -58,  99; -54, -62, -57,  99, -57, -44, -58,  99; -55, -64, -52, -55,  99, -46, -70,  99; -55, -63, -55, -43, -47,  99, -82,  99; -57, -57, -57, -56, -69, -80,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10815  NODE1: [ 99, -59, -55, -51, -55, -54, -60,  99; -58,  99, -89, -57, -66, -64, -59,  99; -55, -88,  99, -53, -54, -56, -58,  99; -52, -58, -54,  99, -55, -44, -61,  99; -54, -64, -53, -54,  99, -46, -70,  99; -54, -64, -55, -43, -47,  99, -79,  99; -59, -57, -56, -57, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10857  NODE1: [ 99, -55, -52, -55, -55, -55, -58,  99; -56,  99, -87, -57, -66, -64, -59,  99; -52, -86,  99, -54, -54, -57, -58,  99; -56, -57, -55,  99, -55, -44, -61,  99; -55, -64, -53, -54,  99, -46, -71,  99; -55, -63, -55, -43, -47,  99, -81,  99; -57, -56, -57, -58, -70, -81,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10899  NODE1: [ 99, -56, -53, -53, -56, -55, -58,  99; -57,  99, -67, -61, -75, -72, -63,  99; -53, -71,  99, -53, -54, -56, -58,  99; -54, -56, -54,  99, -56, -44, -61,  99; -55, -69, -53, -54,  99, -46, -69,  99; -55, -83, -55, -43, -47,  99, -81,  99; -57, -61, -56, -58, -69, -80,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10941  NODE1: [ 99, -58, -53, -53, -56, -55, -58,  99; -58,  99, -79, -70, -63, -77, -64,  99; -53, -73,  99, -53, -54, -55, -57,  99; -54, -71, -54,  99, -56, -44, -61,  99; -55, -62, -53, -54,  99, -46, -69,  99; -55, -87, -55, -43, -47,  99, -80,  99; -57, -61, -55, -57, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10983  NODE1: [ 99, -64, -53, -53, -56, -56, -58,  99; -65,  99, -65, -66, -66, -75, -60,  99; -54, -64,  99, -53, -54, -55, -58,  99; -54, -66, -54,  99, -55, -45, -61,  99; -55, -64, -53, -54,  99, -46, -69,  99; -55, -74, -55, -43, -47,  99, -77,  99; -56, -57, -56, -59, -69, -76,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11025  NODE1: [ 99, -60, -52, -52, -56, -57, -59,  99; -61,  99, -62, -70, -65, -83, -59,  99; -52, -63,  99, -55, -54, -57, -58,  99; -53, -69, -56,  99, -57, -45, -60,  99; -55, -63, -53, -54,  99, -46, -70,  99; -57, -85, -56, -43, -46,  99, -79,  99; -57, -57, -57, -57, -70, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11067  NODE1: [ 99, -63, -58, -53, -57, -55, -59,  99; -64,  99, -65, -66, -66, -81, -58,  99; -58, -64,  99, -52, -54, -55, -58,  99; -54, -67, -54,  99, -55, -44, -61,  99; -55, -64, -54, -54,  99, -46, -70,  99; -55, -80, -56, -43, -47,  99, -80,  99; -58, -57, -56, -57, -70, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11109  NODE1: [ 99, -61, -55, -51, -55, -55, -58,  99; -63,  99, -65, -65, -66, -81, -60,  99; -55, -64,  99, -54, -54, -56, -58,  99; -52, -65, -55,  99, -55, -44, -61,  99; -55, -63, -53, -54,  99, -46, -70,  99; -54, -81, -55, -43, -47,  99, -80,  99; -57, -57, -56, -58, -69, -79,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11151  NODE1: [ 99, -60, -56, -52, -57, -55, -58,  99; -61,  99, -66, -65, -66, -81, -59,  99; -56, -65,  99, -52, -54, -55, -57,  99; -53, -65, -54,  99, -55, -44, -61,  99; -55, -63, -53, -54,  99, -46, -69,  99; -55, -81, -55, -43, -47,  99, -80,  99; -57, -57, -55, -57, -69, -79,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11193  NODE1: [ 99, -63, -54, -50, -56, -57, -58,  99; -64,  99, -64, -68, -66, -86, -59,  99; -54, -64,  99, -52, -54, -56, -59,  99; -51, -68, -55,  99, -56, -44, -58,  99; -55, -64, -53, -54,  99, -46, -71,  99; -57, -85, -55, -43, -46,  99, -80,  99; -57, -57, -58, -56, -71, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11235  NODE1: [ 99, -61, -55, -51, -57, -55, -59,  99; -62,  99, -65, -66, -66, -81, -59,  99; -55, -64,  99, -53, -54, -55, -58,  99; -51, -66, -55,  99, -55, -44, -61,  99; -56, -63, -53, -54,  99, -46, -69,  99; -55, -80, -55, -43, -47,  99, -80,  99; -57, -57, -56, -58, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11277  NODE1: [ 99, -61, -56, -49, -56, -55, -59,  99; -62,  99, -65, -66, -65, -82, -58,  99; -56, -65,  99, -54, -54, -55, -58,  99; -49, -66, -55,  99, -55, -44, -61,  99; -55, -63, -53, -53,  99, -46, -69,  99; -55, -81, -55, -43, -47,  99, -79,  99; -58, -57, -56, -58, -69, -77,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11319  NODE1: [ 99, -60, -54, -50, -57, -55, -58,  99; -61,  99, -65, -65, -65, -81, -59,  99; -54, -66,  99, -54, -54, -55, -58,  99; -51, -66, -55,  99, -55, -44, -61,  99; -56, -63, -53, -54,  99, -46, -69,  99; -55, -81, -55, -43, -47,  99, -80,  99; -58, -57, -55, -58, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11361  NODE1: [ 99, -62, -55, -49, -57, -55, -58,  99; -63,  99, -66, -65, -66, -81, -60,  99; -55, -64,  99, -54, -54, -55, -58,  99; -51, -66, -55,  99, -55, -44, -61,  99; -55, -63, -53, -53,  99, -46, -69,  99; -55, -80, -55, -43, -47,  99, -80,  99; -58, -57, -56, -58, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11403  NODE1: [ 99, -60, -53, -51, -57, -56, -58,  99; -61,  99, -66, -65, -66, -80, -60,  99; -54, -65,  99, -54, -54, -55, -58,  99; -51, -66, -55,  99, -55, -44, -61,  99; -56, -63, -53, -54,  99, -46, -69,  99; -55, -80, -55, -43, -47,  99, -80,  99; -57, -57, -56, -58, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      11445  NODE1: [ 99, -60, -54, -51, -57, -56, -59,  99; -61,  99, -66, -66, -66, -80, -60,  99; -54, -65,  99, -54, -54, -55, -58,  99; -52, -66, -55,  99, -55, -44, -61,  99; -56, -63, -53, -53,  99, -46, -69,  99; -55, -79, -55, -43, -47,  99, -80,  99; -58, -57, -56, -58, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
